       wId wName                                          wCap        sId        nId
       174 Supplier#000000058____EGYPT                    1815         58          4
       175 Supplier#000000059____CANADA                   3012         59          3
       176 Supplier#000000059____IRAN                     2343         59         10
       177 Supplier#000000059____MOZAMBIQUE               2322         59         16
       178 Supplier#000000060____IRAN                     2643         60         10
       179 Supplier#000000060____ROMANIA                  2802         60         19
       180 Supplier#000000060____GERMANY                  2268         60          7
       181 Supplier#000000061____EGYPT                    2571         61          4
       182 Supplier#000000061____MOZAMBIQUE               2322         61         16
       183 Supplier#000000061____IRAN                     2895         61         10
       184 Supplier#000000062____INDONESIA                2799         62          9
       185 Supplier#000000062____EGYPT                    2334         62          4
       186 Supplier#000000062____SAUDI ARABIA             2118         62         20
       187 Supplier#000000063____IRAN                     2778         63         10
       188 Supplier#000000063____SAUDI ARABIA             2454         63         20
       189 Supplier#000000063____MOZAMBIQUE               2256         63         16
       190 Supplier#000000064____IRAN                     2226         64         10
       191 Supplier#000000064____CANADA                   3276         64          3
       192 Supplier#000000064____VIETNAM                  1968         64         21
       193 Supplier#000000065____CANADA                   2418         65          3
       194 Supplier#000000065____IRAN                     2121         65         10
       195 Supplier#000000065____UNITED KINGDOM           2016         65         23
       196 Supplier#000000066____EGYPT                    2652         66          4
       197 Supplier#000000066____CANADA                   2607         66          3
       198 Supplier#000000066____IRAN                     2403         66         10
       199 Supplier#000000067____CANADA                   2406         67          3
       200 Supplier#000000067____UNITED KINGDOM           2520         67         23
       201 Supplier#000000067____MOROCCO                  1866         67         15
       202 Supplier#000000068____CANADA                   3162         68          3
       203 Supplier#000000068____ETHIOPIA                 2310         68          5
       204 Supplier#000000068____UNITED KINGDOM           2406         68         23
       205 Supplier#000000069____CANADA                   2655         69          3
       206 Supplier#000000069____BRAZIL                   2487         69          2
       207 Supplier#000000069____ROMANIA                  1824         69         19
       208 Supplier#000000070____ROMANIA                  2268         70         19
       209 Supplier#000000070____INDONESIA                2538         70          9
       210 Supplier#000000070____JAPAN                    2091         70         12
       211 Supplier#000000071____CANADA                   3267         71          3
       212 Supplier#000000071____ALGERIA                  2568         71          0
       213 Supplier#000000071____IRAN                     2229         71         10
       214 Supplier#000000072____CANADA                   2445         72          3
       215 Supplier#000000072____EGYPT                    2748         72          4
       216 Supplier#000000072____IRAN                     2505         72         10
       217 Supplier#000000073____BRAZIL                   3882         73          2
       218 Supplier#000000073____JAPAN                    3366         73         12
       219 Supplier#000000073____VIETNAM                  3153         73         21
       220 Supplier#000000074____IRAN                     2370         74         10
       221 Supplier#000000074____ROMANIA                  2466         74         19
       222 Supplier#000000074____JAPAN                    2283         74         12
       223 Supplier#000000075____BRAZIL                   3150         75          2
       224 Supplier#000000075____SAUDI ARABIA             2811         75         20
       225 Supplier#000000075____GERMANY                  2655         75          7
       226 Supplier#000000076____IRAN                     2775         76         10
       227 Supplier#000000076____EGYPT                    2004         76          4
       228 Supplier#000000076____BRAZIL                   2274         76          2
       229 Supplier#000000077____KENYA                    3201         77         14
       230 Supplier#000000077____EGYPT                    3015         77          4
       231 Supplier#000000077____JORDAN                   2403         77         13
       232 Supplier#000000078____CANADA                   2475         78          3
       233 Supplier#000000078____IRAN                     2946         78         10
       234 Supplier#000000078____ETHIOPIA                 2283         78          5
       235 Supplier#000000079____IRAN                     2568         79         10
       236 Supplier#000000079____ARGENTINA                1989         79          1
       237 Supplier#000000079____INDONESIA                2946         79          9
       238 Supplier#000000080____EGYPT                    2262         80          4
       239 Supplier#000000080____IRAN                     2475         80         10
       240 Supplier#000000080____BRAZIL                   2349         80          2
       241 Supplier#000000081____JAPAN                    2664         81         12
       242 Supplier#000000081____ALGERIA                  2643         81          0
       243 Supplier#000000081____BRAZIL                   2166         81          2
       244 Supplier#000000082____CANADA                   3012         82          3
       245 Supplier#000000082____MOZAMBIQUE               2733         82         16
       246 Supplier#000000082____IRAN                     2829         82         10
       247 Supplier#000000083____BRAZIL                   2379         83          2
       248 Supplier#000000083____EGYPT                    3024         83          4
       249 Supplier#000000083____INDONESIA                2571         83          9
       250 Supplier#000000084____BRAZIL                   2970         84          2
       251 Supplier#000000084____MOROCCO                  2664         84         15
       252 Supplier#000000084____IRAN                     2577         84         10
       253 Supplier#000000085____UNITED KINGDOM           2538         85         23
       254 Supplier#000000085____JORDAN                   2634         85         13
       255 Supplier#000000085____JAPAN                    2052         85         12
       256 Supplier#000000086____EGYPT                    2826         86          4
       257 Supplier#000000086____MOROCCO                  2862         86         15
       258 Supplier#000000086____MOZAMBIQUE               2889         86         16
       259 Supplier#000000087____SAUDI ARABIA             2451         87         20
       260 Supplier#000000087____EGYPT                    3171         87          4
       261 Supplier#000000087____VIETNAM                  2325         87         21
       262 Supplier#000000088____VIETNAM                  2454         88         21
       263 Supplier#000000088____ALGERIA                  2628         88          0
       264 Supplier#000000088____SAUDI ARABIA             2154         88         20
       265 Supplier#000000089____ALGERIA                  2904         89          0
       266 Supplier#000000089____MOZAMBIQUE               2532         89         16
       267 Supplier#000000089____IRAN                     2367         89         10
       268 Supplier#000000090____IRAN                     2649         90         10
       269 Supplier#000000090____MOROCCO                  2445         90         15
       270 Supplier#000000090____SAUDI ARABIA             2787         90         20
       271 Supplier#000000091____UNITED KINGDOM           2313         91         23
       272 Supplier#000000091____KENYA                    2436         91         14
       273 Supplier#000000091____ALGERIA                  2544         91          0
       274 Supplier#000000092____JAPAN                    2238         92         12
       275 Supplier#000000092____KENYA                    2394         92         14
       276 Supplier#000000092____IRAQ                     2100         92         11
       277 Supplier#000000093____JORDAN                   2451         93         13
       278 Supplier#000000093____MOROCCO                  2520         93         15
       279 Supplier#000000093____EGYPT                    2208         93          4
       280 Supplier#000000094____EGYPT                    2373         94          4
       281 Supplier#000000094____BRAZIL                   2970         94          2
       282 Supplier#000000094____UNITED KINGDOM           2499         94         23
       283 Supplier#000000095____EGYPT                    2529         95          4
       284 Supplier#000000095____IRAN                     2262         95         10
       285 Supplier#000000095____MOROCCO                  2499         95         15
       286 Supplier#000000096____MOROCCO                  2904         96         15
       287 Supplier#000000096____CANADA                   3081         96          3
       288 Supplier#000000096____IRAN                     2058         96         10
       289 Supplier#000000097____BRAZIL                   2742         97          2
       290 Supplier#000000097____JAPAN                    2754         97         12
       291 Supplier#000000097____EGYPT                    2967         97          4
       292 Supplier#000000098____IRAN                     2268         98         10
       293 Supplier#000000098____CANADA                   2808         98          3
       294 Supplier#000000098____ALGERIA                  2487         98          0
       295 Supplier#000000099____INDONESIA                3681         99          9
       296 Supplier#000000099____BRAZIL                   3030         99          2
       297 Supplier#000000099____MOROCCO                  2565         99         15
       298 Supplier#000000100____VIETNAM                  2634        100         21
       299 Supplier#000000100____JAPAN                    2556        100         12
       300 Supplier#000000100____IRAN                     2811        100         10
